DATETIME,BNB,BTC,ETH,USDC,USDT
20221211-122001,290.18221731,17163.54678608,1273.06388631,1.00003151,1.00006398
20221211-122501,290.06475626,17162.65052394,1272.64478764,1.00001726,1.00008301
20221211-123001,290.06475626,17162.65052394,1272.64478764,1.00001726,1.00008301
20221211-123501,290.11979266,17165.69790047,1272.88819389,1.00002418,1.00007355
20221211-124001,290.11979266,17165.69790047,1272.88819389,1.00002418,1.00007355
20221211-124501,290.15305381,17172.77727115,1273.40659109,1.00003139,1.00008074
20221211-125001,290.15305381,17172.77727115,1273.40659109,1.00003139,1.00008074
20221211-125501,290.19413509,17169.23966047,1273.75475468,1.00004192,1.00006214
20221211-130001,290.19413509,17169.23966047,1273.75475468,1.00004192,1.00006214
20221211-130501,290.23605158,17167.69169479,1274.43459447,1.0000757,1.00007294
20221211-131001,290.23605158,17167.69169479,1274.43459447,1.0000757,1.00007294
20221211-131501,290.21674944,17167.33548749,1274.38520242,1.00004455,1.00007923
20221211-132001,290.21674944,17167.33548749,1274.38520242,1.00004455,1.00007923
20221211-132501,290.21674944,17167.33548749,1274.38520242,1.00004455,1.00007923
20221211-133001,289.72483972,17165.1850204,1274.24277181,1.00006494,1.00007651
20221211-133501,289.95499894,17169.83983798,1275.27701618,1.00006054,1.00008633
20221211-134001,289.95499894,17169.83983798,1275.27701618,1.00006054,1.00008633
20221211-134501,289.95499894,17169.83983798,1275.27701618,1.00006054,1.00008633
20221211-135001,289.67513806,17163.96256073,1274.7866694,1.00004151,1.00006578
20221211-135501,289.67513806,17163.96256073,1274.7866694,1.00004151,1.00006578
20221211-140001,289.53638651,17151.16919702,1273.62348948,1.00000452,1.00006217
20221211-140501,289.53638651,17151.16919702,1273.62348948,1.00000452,1.00006217
20221211-141001,289.6240701,17158.90115606,1273.21440276,1.0000049,1.00006728
20221211-141501,289.44569863,17155.30725403,1272.29309858,1.0000049,1.00007476
20221211-142001,289.44569863,17155.30725403,1272.29309858,0.99997403,1.00007476
20221211-142501,289.44714009,17155.47600422,1272.36026602,0.99997403,1.00006854
20221211-143001,289.44714009,17155.47600422,1272.36026602,0.99997403,1.00006854
20221211-143501,289.22053786,17146.54181797,1271.095761,1.00003119,1.00005901
20221211-144001,289.22053786,17146.54181797,1271.095761,0.99996363,1.00005901
20221211-144501,289.22053786,17146.54181797,1271.095761,0.99996363,1.00005901
20221211-145001,289.41257453,17148.97628631,1271.64264792,1.0000424,1.000076
20221211-145501,289.41257453,17148.97628631,1271.64264792,1.0000424,1.000076
20221211-150001,289.44622015,17155.65233433,1271.50261984,1.00016349,1.00006555
20221211-150501,289.44622015,17155.65233433,1271.50261984,1.00016349,1.00006555
20221211-151001,289.52135558,17161.21513191,1272.21799018,1.00005288,1.00005724
20221211-151501,289.74815986,17155.82159302,1272.1226325,1.00005288,1.0000669
20221211-152001,289.74815986,17155.82159302,1272.1226325,1.00004049,1.0000669
20221211-152501,289.74815986,17155.82159302,1272.1226325,1.00004049,1.0000669
20221211-153001,289.76873818,17158.9907902,1272.61052079,1.00004419,1.0000669
20221211-153501,289.827835,17162.25759792,1273.31302155,1.00004419,1.0000669
20221211-154001,289.827835,17162.25759792,1273.31302155,1.00001073,1.0000669
20221211-154501,289.67419112,17156.16143214,1273.08508712,1.00001073,1.0000669
20221211-155001,289.67419112,17156.16143214,1273.08508712,1.00001073,1.0000669
20221211-155501,289.7044848,17157.86361939,1272.65837711,1.00008253,1.0000669
20221211-160001,289.7044848,17157.86361939,1272.65837711,1.00002551,1.0000669
20221211-160501,289.67883257,17159.50057729,1273.08311224,1.00002551,1.0000669
20221211-161001,289.67883257,17159.50057729,1273.08311224,1.00002551,1.0000669
20221211-161501,289.74347263,17158.6725337,1272.94375903,1.00003011,1.0000669
20221211-162001,289.74347263,17158.6725337,1272.94375903,1.00003433,1.0000669
20221211-162501,289.39877606,17156.68242976,1272.46801166,1.00003433,1.0000669
20221211-163001,289.39877606,17156.68242976,1272.46801166,1.00003433,1.0000669
20221211-163501,289.4239498,17160.44422575,1272.62631076,1.00003729,1.0000669
20221211-164001,289.4239498,17160.44422575,1272.62631076,1.00004031,1.0000669
20221211-164502,289.4239498,17160.44422575,1272.62631076,1.00004031,1.0000669
20221211-165001,289.4239498,17160.44422575,1272.62631076,1.00004031,1.0000669
20221211-165501,289.75340138,17172.66324704,1274.44205508,1.00004031,1.0000657
20221211-170001,289.75340138,17172.66324704,1274.44205508,1.00004031,1.0000657
20221211-170501,289.72022072,17170.78211531,1274.27740893,1.00009933,1.00006062
20221211-171001,289.72022072,17170.78211531,1274.27740893,1.00009933,1.00006062
20221211-171501,289.81975882,17176.15382279,1274.85004452,0.99999645,1.00006893
20221211-172001,289.81975882,17176.15382279,1274.85004452,1.00010246,1.00006893
20221211-172501,289.81975882,17176.15382279,1274.85004452,1.00010246,1.00006893
20221211-173001,289.78351888,17171.16825722,1274.5431725,1.00002283,1.00007324
20221211-173501,289.70282999,17174.21127308,1275.09765115,1.00012485,1.00007415
20221211-174001,289.70282999,17174.21127308,1275.09765115,1.00012485,1.00007415
20221211-174501,289.70282999,17174.21127308,1275.09765115,1.00012485,1.00007415
20221211-175001,289.81656205,17176.65882348,1275.15758908,1.00002756,1.00007263
20221211-175501,289.81656205,17176.65882348,1275.15758908,1.00002756,1.00007263
20221211-180001,289.77005341,17173.34648152,1274.28327283,1.00000276,1.00006427
20221211-180501,289.88538999,17177.26782529,1274.20417702,1.0000679,1.00005281
20221211-181001,289.88538999,17177.26782529,1274.20417702,1.0000679,1.00005281
